,Date,Open,High,Low,Close,Volume,DEMA,EMA,HT_TRENDLINE,KAMA,MA,MIDPOINT,MIDPRICE,SAR,SAREXT,SMA,T3,TEMA,TRIMA,WMA
0,20050422,118.0,118.0,96.0,98.1,8260443,,,,,,,,,,,,,,
1,20050425,98.9,99.7,94.2,94.95,2553778,,,,,,,,98.1,-98.1,,,,,
2,20050426,95.65,96.25,93.1,93.4,1700389,,,,,,,,98.02,-98.02,,,,,
3,20050427,93.4,101.75,92.35,96.1,4680904,,,,,,,,97.83,-97.83,,,,,
4,20050428,96.0,98.7,94.65,95.55,1853019,,,,,,,,97.5,-97.5,,,,,
5,20050429,95.85,96.85,92.5,93.4,1106185,,,,,,,,97.19,-97.19,,,,,
6,20050502,102.0,102.0,93.6,94.15,889820,,,,,,,,96.9,-96.9,,,,,
7,20050503,94.45,95.35,92.7,93.15,840068,,,,,,,,96.62,-96.62,,,,,
8,20050504,93.8,94.65,93.5,93.8,593692,,,,,,,,96.37,-96.37,,,,,
9,20050505,94.5,95.25,93.25,93.55,582135,,,,,,,,96.13,-96.13,,,,,
10,20050506,100.5,100.5,92.8,94.7,467846,,,,,,,,95.9,-95.9,,,,,
11,20050509,96.0,96.4,94.0,95.25,432125,,,,,,,,95.69,-95.69,,,,,
12,20050510,95.95,95.95,94.2,94.9,248707,,,,,,,,95.49,-95.49,,,,,
13,20050511,94.25,95.2,93.8,94.55,222767,,,,,,95.62,95.22,95.3,-95.3,,,,,
14,20050512,94.75,95.0,94.05,94.4,194643,,,,,,94.62,94.22,95.12,-95.12,,,,,
15,20050513,94.5,94.9,93.5,94.05,213696,,,,,,94.62,94.22,94.96,-94.96,,,,,
16,20050516,94.2,96.4,94.15,95.3,300142,,,,,,94.62,94.22,92.35,92.35,,,,,
17,20050517,95.8,100.0,94.4,95.95,1495208,,,,,,94.55,94.22,92.41,92.41,,,,,
18,20050518,96.25,102.3,95.3,98.6,2985182,,,,,,95.88,95.55,92.55,92.55,,,,,
19,20050519,99.0,101.8,97.8,98.3,1629185,,,,,,95.88,95.65,92.91,92.91,,,,,
20,20050520,98.8,101.8,97.15,100.85,1340237,,,,,,97.0,96.78,93.25,93.25,,,,,
21,20050523,101.9,102.2,98.5,98.9,434986,,,,,,97.2,96.82,93.86,93.86,,,,,
22,20050524,97.0,99.5,96.5,96.8,263000,,,,,,97.2,96.82,94.42,94.42,,,,,
23,20050525,96.8,97.25,95.8,96.15,161308,,,,,,97.45,96.82,94.94,94.94,,,,,
24,20050526,96.75,99.5,96.1,97.1,333243,,,,,,97.45,97.18,95.41,95.41,,98.18,,,
25,20050527,97.5,97.95,96.0,96.25,195307,,,,,,97.45,97.18,95.8,95.8,,97.77,,,
26,20050530,96.25,97.2,95.0,95.3,139343,,,,,,97.45,97.18,100.85,-100.85,,97.22,,,
27,20050531,96.0,96.15,95.0,95.25,102994,,,,,,97.45,97.18,100.73,-100.73,,96.65,,,
28,20050601,95.5,97.4,95.35,95.9,167369,,,,,,97.45,97.18,100.62,-100.62,,96.2,,,
29,20050602,96.65,96.65,94.0,94.4,108079,,95.64,,,95.64,97.62,97.42,100.51,-100.51,95.64,95.74,,95.64,95.99
30,20050603,95.95,96.0,94.4,95.35,144061,,95.62,,94.41,95.54,97.62,97.42,100.25,-100.25,95.54,95.4,,95.76,95.97
31,20050606,96.5,96.9,95.25,95.6,104691,,95.62,,94.42,95.57,97.62,97.42,100.0,-100.0,95.57,95.22,,95.91,95.97
32,20050607,95.6,96.65,95.0,95.35,119464,,95.6,,94.43,95.63,97.62,97.42,99.76,-99.76,95.63,95.14,,96.05,95.96
33,20050608,95.35,98.7,95.35,96.35,353943,,95.65,,94.44,95.64,97.62,97.42,99.53,-99.53,95.64,95.24,,96.17,96.01
34,20050609,96.8,97.3,95.1,95.7,151381,,95.65,,94.44,95.64,96.65,96.45,99.3,-99.3,95.64,95.37,,96.27,96.01
35,20050610,95.7,96.9,94.8,95.2,121221,,95.62,,94.45,95.7,95.75,95.55,99.09,-99.09,95.7,95.43,,96.33,95.98
36,20050613,95.8,98.35,94.4,96.05,306778,,95.65,,94.47,95.77,95.75,95.55,98.89,-98.89,95.77,95.52,,96.36,96.0
37,20050614,96.05,96.9,95.3,95.55,130145,,95.64,,94.49,95.85,95.75,95.55,98.69,-98.69,95.85,95.58,,96.35,95.99
38,20050615,96.4,98.7,96.4,96.65,435550,,95.71,,94.52,95.94,95.52,95.32,98.51,-98.51,95.94,95.73,,96.34,96.04
39,20050616,96.95,98.25,95.0,95.25,252195,,95.68,,94.53,96.0,95.52,95.32,98.33,-98.33,96.0,95.78,,96.3,96.0
40,20050617,95.6,96.0,92.7,93.05,192096,,95.51,,94.52,95.94,94.85,94.68,98.15,-98.15,95.94,95.48,,96.24,95.81
41,20050620,94.4,94.5,92.7,93.4,95619,,95.37,,94.5,95.88,94.85,94.68,97.83,-97.83,95.88,94.98,,96.17,95.64
42,20050621,93.1,93.5,92.5,92.85,75820,,95.21,,94.49,95.81,94.75,94.58,97.52,-97.52,95.81,94.39,,96.08,95.45
43,20050622,92.7,94.1,92.0,92.2,160292,,95.02,,94.46,95.73,94.43,94.32,97.12,-97.12,95.73,93.75,,95.98,95.22
44,20050623,92.2,92.45,91.35,91.7,106410,,94.8,,94.42,95.64,94.18,94.0,96.6,-96.6,95.64,93.1,,95.86,94.95
45,20050624,91.9,92.95,91.0,91.8,116420,,94.61,,94.38,95.57,94.18,93.82,95.97,-95.97,95.57,92.53,,95.72,94.71
46,20050627,92.0,92.5,91.5,91.6,80494,,94.41,,94.33,95.45,94.12,93.82,95.28,-95.28,95.45,92.06,,95.56,94.45
47,20050628,92.0,92.0,89.9,90.1,87941,,94.14,,94.18,95.25,93.38,93.28,94.68,-94.68,95.25,91.55,,95.38,94.11
48,20050629,90.1,90.5,88.5,89.15,91176,,93.81,,93.79,94.94,92.9,92.58,93.91,-93.91,94.94,90.91,,95.18,93.71
49,20050630,88.9,91.3,88.4,89.05,113040,,93.51,,93.44,94.63,92.85,92.52,92.94,-92.94,94.63,90.26,,94.95,93.33
50,20050701,89.0,90.0,88.05,88.7,78272,,93.2,,92.82,94.22,92.68,92.35,92.03,-92.03,94.22,89.65,,94.71,92.95
51,20050704,88.7,91.0,88.5,89.25,131192,,92.94,,92.46,93.9,92.68,92.35,91.24,-91.24,93.9,89.2,,94.46,92.63
52,20050705,89.4,91.0,88.7,89.05,93586,,92.69,,92.19,93.64,91.98,91.65,90.6,-90.6,93.64,88.91,,94.2,92.32
53,20050706,90.0,92.95,90.0,92.55,374866,,92.68,,92.2,93.52,91.05,90.72,88.05,88.05,93.52,89.16,,93.92,92.25
54,20050707,93.0,93.55,90.1,90.5,142250,,92.54,,92.11,93.3,91.05,90.72,88.14,88.14,93.3,89.53,,93.63,92.05
55,20050708,90.6,92.15,89.9,90.6,71035,,92.42,,92.05,93.11,90.78,90.45,88.23,88.23,93.11,89.89,,93.33,91.88
56,20050711,91.65,92.6,90.3,90.8,91835,,92.31,,92.01,92.96,90.62,90.3,88.31,88.31,92.96,90.2,,93.03,91.73
57,20050712,91.0,91.3,89.7,90.35,68688,,92.18,,91.95,92.8,90.62,90.3,88.4,88.4,92.8,90.39,,92.73,91.56
58,20050713,91.2,91.2,89.85,90.0,108591,89.71,92.04,,91.86,92.6,90.62,90.3,88.48,88.48,92.6,90.43,,92.44,91.38
59,20050714,91.5,91.5,89.0,89.45,74236,89.53,91.88,,91.77,92.44,90.62,90.3,88.56,88.56,92.44,90.32,,92.14,91.17
60,20050715,89.6,90.25,89.1,89.3,53589,89.36,91.71,,91.64,92.24,90.62,90.3,88.64,88.64,92.24,90.11,,91.85,90.97
61,20050718,90.15,97.5,89.8,96.05,1115251,90.06,91.99,,91.66,92.25,92.38,92.05,88.72,88.72,92.25,90.65,,91.6,91.22
62,20050719,96.0,104.85,96.0,103.8,3032410,91.66,92.75,,92.18,92.53,96.25,95.92,89.01,89.01,92.53,92.66,,91.41,91.96
63,20050720,107.0,107.95,102.25,102.75,1677418,92.97,93.4,91.38,92.49,92.75,96.25,95.92,89.8,89.8,92.75,95.35,,91.31,92.62
64,20050721,103.0,103.65,97.95,99.15,881835,93.72,93.77,91.79,92.58,92.86,96.42,96.15,90.64,90.64,92.86,97.58,,91.27,93.03
65,20050722,102.0,102.9,97.55,100.95,1626028,94.62,94.23,92.19,92.77,93.06,96.42,96.25,91.43,91.43,93.06,99.31,,91.32,93.56
66,20050725,102.0,102.4,98.5,98.8,541884,95.17,94.53,92.52,92.84,93.15,96.55,96.4,92.17,92.17,93.15,100.27,,91.43,93.93
67,20050726,99.5,99.55,96.4,97.45,205947,95.49,94.72,92.78,92.87,93.21,96.55,96.4,92.87,92.87,93.21,100.47,,91.61,94.2
68,20050727,97.5,97.95,96.05,96.4,100308,95.65,94.82,92.98,92.89,93.2,96.55,96.4,93.53,93.53,93.2,100.04,,91.83,94.41
69,20050729,95.0,107.0,93.5,104.05,1239063,96.75,95.42,93.23,93.23,93.49,96.68,96.52,104.05,-104.05,93.49,100.2,,92.12,95.11
70,20050801,103.0,104.9,100.25,101.9,378175,97.47,95.84,93.5,93.49,93.79,96.68,96.52,104.05,-104.05,93.79,100.65,,92.48,95.65
71,20050802,101.0,105.9,101.0,104.25,986890,98.42,96.38,93.84,93.89,94.15,96.78,96.62,93.5,93.5,94.15,101.44,,92.9,96.33
72,20050803,109.5,109.5,102.4,103.7,803097,99.2,96.85,94.25,94.26,94.51,96.78,96.62,93.72,93.72,94.51,102.29,,93.4,96.94
