,Date,Open,High,Low,Close,Volume,DEMA,EMA,HT_TRENDLINE,KAMA,MA,MIDPOINT,MIDPRICE,SAR,SAREXT,SMA,T3,TEMA,TRIMA,WMA
0,20101014,342.0,362.7,308.1,330.75,14586970,,,,,,,,,,,,,,
1,20101015,325.0,330.45,305.15,315.55,1786738,,,,,,,,330.75,-330.75,,,,,
2,20101018,314.65,321.4,303.25,306.5,244792,,,,,,,,330.24,-330.24,,,,,
3,20101019,307.6,351.1,306.5,317.95,1868320,,,,,,,,329.16,-329.16,,,,,
4,20101020,317.95,334.0,311.1,318.05,602906,,,,,,,,328.12,-328.12,,,,,
5,20101021,363.0,363.0,317.0,318.8,182807,,,,,,,,327.13,-327.13,,,,,
6,20101022,310.0,324.8,310.0,315.75,117613,,,,,,,,326.17,-326.17,,,,,
7,20101025,316.0,321.7,310.05,311.85,92065,,,,,,,,325.26,-325.26,,,,,
8,20101026,312.25,316.75,303.4,306.2,53355,,,,,,,,324.38,-324.38,,,,,
9,20101027,302.0,316.0,301.0,310.45,63026,,,,,,,,323.53,-323.53,,,,,
10,20101028,307.05,311.75,304.0,306.75,47698,,,,,,,,322.18,-322.18,,,,,
11,20101029,304.1,316.5,304.1,312.1,87509,,,,,,,,320.91,-320.91,,,,,
12,20101101,315.25,318.0,309.1,311.7,30333,,,,,,,,319.71,-319.71,,,,,
13,20101102,310.0,312.5,303.0,309.0,30455,,,,,,318.48,315.88,318.59,-318.59,,,,,
14,20101103,311.0,312.1,305.2,306.7,12124,,,,,,312.5,309.9,317.53,-317.53,,,,,
15,20101104,302.1,312.25,301.55,310.2,21593,,,,,,312.5,309.9,316.54,-316.54,,,,,
16,20101105,311.75,311.75,306.25,308.65,2746,,,,,,312.5,309.9,315.61,-315.61,,,,,
17,20101108,310.0,314.0,301.55,309.45,17314,,,,,,312.5,309.9,314.73,-314.73,,,,,
18,20101109,306.3,313.6,306.25,312.1,35828,,,,,,312.5,309.9,313.91,-313.91,,,,,
19,20101110,307.0,314.7,306.5,312.5,14426,,,,,,310.98,308.38,313.14,-313.14,,,,,
20,20101111,310.15,313.8,309.15,312.35,13600,,,,,,309.35,306.75,312.5,-312.5,,,,,
21,20101112,310.0,328.0,310.0,320.1,67519,,,,,,313.15,310.55,301.0,301.0,,,,,
22,20101115,320.05,322.1,304.0,306.15,16056,,,,,,313.12,310.55,301.38,301.38,,,,,
23,20101116,307.7,312.0,306.1,307.4,126256,,,,,,313.12,310.83,301.76,301.76,,,,,
24,20101118,307.0,311.25,305.65,308.6,90223,,,,,,313.12,310.83,302.12,302.12,,311.14,,,
25,20101119,306.25,310.0,304.3,307.05,8061,,,,,,313.12,310.83,302.48,302.48,,310.08,,,
26,20101122,305.25,309.55,305.0,308.1,6995,,,,,,313.12,310.83,302.84,302.84,,309.17,,,
27,20101123,305.1,308.0,305.0,306.4,29155,,,,,,313.12,310.83,303.18,303.18,,308.31,,,
28,20101124,305.15,307.0,301.0,304.7,61845,,,,,,312.4,310.55,320.1,-320.1,,307.35,,,
29,20101125,301.5,304.0,285.05,302.05,19193,,311.13,,,311.13,311.08,302.58,319.72,-319.72,311.13,306.1,,310.64,309.24
30,20101126,295.0,302.0,295.0,295.2,11611,,310.1,,301.63,309.94,307.65,302.58,318.33,-318.33,309.94,303.98,,310.32,308.21
31,20101129,296.1,302.0,293.1,295.45,8107,,309.16,,301.42,309.28,307.65,302.58,317.0,-317.0,309.28,301.48,,310.03,307.27
32,20101130,291.05,297.7,290.1,293.15,3448,,308.12,,301.24,308.83,306.62,302.58,315.72,-315.72,308.83,298.86,,309.7,306.23
33,20101201,299.75,299.8,292.0,292.8,7432,,307.14,,300.73,307.99,306.45,302.58,314.5,-314.5,307.99,296.45,,309.28,305.2
34,20101202,292.1,307.0,292.1,304.05,3455,,306.94,,300.81,307.52,306.45,302.58,313.32,-313.32,307.52,295.81,,308.84,304.94
35,20101203,297.05,298.9,292.15,293.65,3324,,306.08,,300.49,306.69,300.7,296.83,312.19,-312.19,306.69,295.4,,308.35,304.05
36,20101206,295.0,298.0,292.25,295.0,2857,,305.36,,300.3,306.0,300.7,296.83,311.1,-311.1,306.0,295.05,,307.79,303.29
37,20101207,294.0,297.0,289.0,292.25,42305,,304.52,,300.04,305.34,300.42,296.83,310.06,-310.06,305.34,294.44,,307.14,302.41
38,20101208,294.5,296.0,287.6,291.2,45236,,303.66,,299.82,304.84,299.65,296.58,309.06,-309.06,304.84,293.57,,306.46,301.5
39,20101209,296.0,297.0,291.0,291.05,3666,,302.85,,299.5,304.19,299.58,296.58,308.1,-308.1,304.19,292.63,,305.69,300.61
40,20101210,291.5,293.9,290.25,291.15,2308,,302.09,,299.26,303.67,298.73,295.73,307.18,-307.18,303.67,291.81,,304.87,299.76
41,20101213,295.0,299.0,289.1,289.65,12968,,301.29,,298.79,302.93,297.17,294.88,306.29,-306.29,302.93,291.02,,303.97,298.86
42,20101214,294.0,294.0,289.1,290.0,3541,,300.56,,298.37,302.2,296.85,294.55,305.44,-305.44,302.2,290.36,,303.02,298.03
43,20101215,290.0,295.75,287.1,287.55,2357,,299.72,,297.87,301.49,295.8,295.58,304.63,-304.63,301.49,289.6,,302.01,297.08
44,20101216,289.95,292.9,288.0,288.1,964,,298.97,,297.48,300.87,295.8,295.58,303.84,-303.84,300.87,288.89,,300.97,296.22
45,20101220,291.0,291.0,287.0,287.5,3843,,298.23,,296.93,300.11,295.77,295.52,303.09,-303.09,300.11,288.25,,299.92,295.35
46,20101221,291.0,291.0,287.1,288.55,3263,,297.61,,296.54,299.44,295.77,295.52,302.37,-302.37,299.44,287.85,,298.89,294.61
47,20101222,290.0,290.0,287.8,288.05,2073,,296.99,,296.11,298.73,295.77,295.52,301.68,-301.68,298.73,287.63,,297.91,293.87
48,20101223,289.5,291.0,287.0,287.0,7213,,296.35,,295.51,297.89,291.0,291.0,301.01,-301.01,297.89,287.41,,296.96,293.12
49,20101224,288.8,289.8,287.0,287.65,1393,,295.78,,294.99,297.06,291.0,291.0,300.37,-300.37,297.06,287.27,,296.03,292.46
50,20101227,289.0,293.0,288.0,290.3,3038,,295.43,,294.75,296.33,289.62,289.62,299.76,-299.76,296.33,287.51,,295.12,292.02
51,20101228,290.0,297.1,290.0,293.55,2258,,295.31,,294.66,295.44,290.27,290.27,299.17,-299.17,295.44,288.41,,294.28,291.84
52,20101229,298.0,313.0,298.0,304.7,20476,,295.92,,294.72,295.39,295.85,295.85,285.05,285.05,295.39,290.97,,293.6,292.44
53,20101230,302.05,306.0,299.1,304.7,15901,,296.48,,294.79,295.3,295.85,295.85,285.44,285.44,295.3,294.43,,293.03,293.04
54,20101231,302.0,310.0,300.0,307.4,51901,,297.19,,294.86,295.26,297.2,297.2,285.83,285.83,295.26,298.26,,292.6,293.82
55,20110103,299.35,306.0,293.05,304.0,7521,,297.63,,294.93,295.16,297.2,297.2,286.69,286.69,295.16,301.39,,292.29,294.38
56,20110104,308.0,308.0,299.1,299.95,3949,,297.78,,295.01,294.89,297.2,297.2,287.52,287.52,294.89,303.1,,292.1,294.69
57,20110105,300.05,304.0,299.75,301.4,2276,,298.01,,295.08,294.72,297.2,297.2,288.31,288.31,294.72,303.78,,292.02,295.11
58,20110106,300.1,305.0,300.1,300.45,801,295.18,298.17,,295.13,294.58,297.2,297.2,289.08,289.08,294.58,303.74,,292.07,295.48
59,20110107,300.45,304.8,299.1,299.6,19084,295.55,298.26,,295.16,294.5,297.2,297.2,289.81,289.81,294.5,303.19,,292.24,295.8
60,20110110,299.1,299.9,294.05,294.45,1567,295.25,298.01,,295.16,294.48,297.2,297.2,290.51,290.51,294.48,301.82,,292.5,295.8
61,20110111,300.0,305.0,286.5,286.95,4470,294.05,297.3,,295.03,294.19,297.17,296.95,307.4,-307.4,294.19,299.16,,292.78,295.31
62,20110112,287.0,294.95,287.0,290.65,973,293.43,296.87,,295.0,294.11,297.17,296.95,306.98,-306.98,294.11,296.33,,293.1,295.09
63,20110113,288.5,290.0,286.5,287.25,675,292.45,296.25,294.16,294.92,293.92,297.17,296.95,306.57,-306.57,293.92,293.51,,293.45,294.64
64,20110114,284.0,288.55,284.0,287.15,1891,291.56,295.66,293.88,294.6,293.36,297.17,295.7,306.17,-306.17,293.36,291.01,,293.81,294.21
65,20110117,288.25,289.0,283.65,285.15,760,290.51,294.98,293.65,294.41,293.08,296.27,295.52,305.28,-305.28,293.08,288.8,,294.22,293.68
66,20110118,283.1,291.0,271.0,286.0,3654,289.68,294.41,293.44,294.23,292.78,296.27,289.2,303.99,-303.99,292.78,287.1,,294.62,293.22
67,20110119,283.0,286.5,278.0,281.4,88418,288.36,293.57,293.22,293.9,292.42,294.4,289.2,301.35,-301.35,292.42,285.39,,294.92,292.49
68,20110120,280.1,280.1,272.1,277.45,287,286.68,292.53,292.91,293.36,291.96,290.73,287.5,298.92,-298.92,291.96,283.33,,295.06,291.52
69,20110121,275.0,278.85,274.0,274.65,542,284.83,291.37,292.5,292.61,291.41,288.02,286.2,296.69,-296.69,291.41,280.89,,295.01,290.4
70,20110124,270.15,284.95,267.0,273.5,651,283.02,290.22,292.03,291.79,290.82,287.45,284.2,294.63,-294.63,290.82,278.36,,294.76,289.25
71,20110125,280.95,280.95,271.5,274.45,339,281.51,289.2,291.51,291.18,290.32,286.98,283.73,291.87,-291.87,290.32,276.23,,294.35,288.19
72,20110127,274.0,274.1,265.1,268.75,467,279.45,287.88,290.83,290.03,289.61,284.18,282.35,289.38,-289.38,289.61,274.01,,293.76,286.8
73,20110128,265.15,281.0,265.0,270.5,1755,277.83,286.76,290.11,289.28,289.04,281.6,279.73,286.47,-286.47,289.04,272.1,,293.0,285.57
74,20110131,270.1,270.1,256.4,266.4,2399,275.86,285.45,289.28,288.14,288.32,278.52,273.52,283.46,-283.46,288.32,270.2,,292.05,284.11
75,20110201,261.15,262.4,253.3,255.2,5901,272.7,283.5,288.26,285.65,287.24,272.92,271.98,279.13,-279.13,287.24,267.17,,290.88,281.97
76,20110202,260.0,260.0,255.1,255.8,723,269.94,281.71,287.22,283.34,286.15,271.23,270.27,274.48,-274.48,286.15,263.65,,289.56,279.94
77,20110203,259.0,295.0,255.0,255.55,5668,267.43,280.02,286.22,281.2,285.06,271.17,270.23,270.67,-270.67,285.06,260.32,,288.1,277.97
78,20110204,261.0,262.95,255.1,255.15,857,265.14,278.42,285.31,279.23,284.0,270.58,269.65,267.54,-267.54,284.0,257.58,,286.49,276.04
79,20110207,260.05,261.0,257.1,258.75,883,263.54,277.15,284.49,277.96,283.04,270.58,269.65,264.98,-264.98,283.04,255.99,,284.76,274.41
80,20110208,256.05,258.5,255.1,255.15,1006,261.67,275.73,283.65,276.08,281.87,268.27,267.35,262.88,-262.88,281.87,254.97,,282.92,272.61
81,20110209,255.1,262.95,255.1,255.15,1745,260.01,274.4,282.68,273.99,280.59,266.3,265.38,261.15,-261.15,280.59,254.32,,280.96,270.88
82,20110210,255.1,260.0,255.0,255.4,5422,258.56,273.18,281.63,270.54,278.94,264.9,263.98,259.74,-259.74,278.94,253.99,,278.93,269.26
83,20110211,258.6,279.9,255.1,256.05,2815,257.37,272.07,280.55,267.94,277.32,264.8,263.88,258.58,-258.58,277.32,253.96,,276.9,267.78
84,20110214,257.35,290.0,257.3,278.25,2410,259.09,272.47,279.39,268.52,276.35,266.7,265.77,253.3,253.3,276.35,256.74,,275.0,267.84
85,20110215,293.95,293.95,266.0,273.1,896,260.03,272.51,278.3,268.8,275.32,266.7,265.77,253.8,253.8,275.32,260.79,,273.24,267.63
86,20110216,265.1,272.9,265.1,265.75,824,259.99,272.07,277.12,268.6,274.18,266.7,265.77,254.29,254.29,274.18,264.05,,271.57,267.01
87,20110217,269.9,273.95,265.0,266.75,834,260.11,271.73,275.62,268.47,273.03,266.7,265.77,254.77,254.77,273.03,266.22,259.56,270.0,266.54
88,20110218,265.0,268.8,263.5,263.6,347,259.84,271.21,273.81,268.11,271.8,266.7,265.77,255.24,255.24,271.8,267.09,259.57,268.53,265.93
89,20110221,265.05,283.95,265.05,273.7,14695,260.89,271.37,271.97,268.33,270.94,266.7,266.62,255.7,255.7,270.94,268.21,261.46,267.22,266.05
90,20110222,273.5,288.0,266.0,278.95,4549,262.51,271.86,270.73,268.55,270.42,267.05,266.98,256.15,256.15,270.42,270.28,264.11,266.15,266.57
91,20110223,286.95,286.95,262.0,275.3,3854,263.54,272.08,269.89,268.66,270.03,267.05,266.98,257.06,257.06,270.03,272.37,265.8,265.32,266.88
92,20110224,279.0,279.75,263.0,265.0,724,263.21,271.62,269.2,268.52,269.18,267.05,266.98,257.94,257.94,269.18,272.87,265.43,264.66,266.56
93,20110225,261.1,275.0,231.0,255.55,10370,261.75,270.58,268.15,267.92,268.12,267.05,254.98,278.95,-278.95,268.12,270.95,263.43,264.15,265.68
94,20110228,260.0,260.0,245.3,246.45,8047,259.3,269.03,266.62,266.62,266.76,262.7,254.98,277.99,-277.99,266.76,266.53,260.04,263.72,264.28
95,20110301,249.0,257.0,240.05,250.0,12306,257.55,267.8,265.19,265.82,265.59,262.7,254.98,277.05,-277.05,265.59,261.49,257.76,263.39,263.2
96,20110303,254.95,254.95,243.15,247.2,808,255.64,266.47,263.74,264.81,264.3,262.7,254.98,276.13,-276.13,264.3,256.61,255.29,263.15,262.01
97,20110304,236.1,247.0,236.1,244.95,1584,253.65,265.08,262.34,263.8,263.08,261.95,254.98,275.23,-275.23,263.08,252.23,252.76,262.99,260.76
98,20110307,240.0,252.0,232.15,250.5,2034,252.57,264.14,261.2,263.36,262.18,261.95,254.98,274.34,-274.34,262.18,249.33,251.6,262.92,259.95
99,20110308,241.0,264.5,240.0,255.7,3143,252.26,263.6,260.46,263.19,261.55,261.95,254.98,273.48,-273.48,261.55,248.44,251.58,262.85,259.53
100,20110309,253.0,270.0,245.0,264.65,8534,253.12,263.67,260.18,263.21,261.26,261.95,254.98,272.63,-272.63,261.26,250.02,253.23,262.72,259.73
101,20110310,255.15,268.7,250.0,260.0,3675,253.35,263.43,260.02,263.16,260.78,261.95,254.98,271.79,-271.79,260.78,252.47,253.88,262.58,259.65
102,20110311,254.95,267.0,254.0,266.0,1595,254.32,263.59,260.19,263.18,260.68,261.95,254.98,270.98,-270.98,260.68,255.61,255.57,262.46,259.99
103,20110314,254.0,279.95,251.2,273.55,3342,256.16,264.24,260.71,263.24,260.79,261.95,254.98,231.0,231.0,260.79,259.7,258.45,262.4,260.82
104,20110315,265.1,275.0,261.1,270.2,2805,257.43,264.62,261.38,263.28,260.91,260.12,253.15,231.85,231.85,260.91,263.6,260.39,262.35,261.43
105,20110316,270.0,273.0,265.25,271.0,2987,258.69,265.03,262.23,263.41,261.44,259.25,252.28,232.68,232.68,261.44,266.85,262.26,262.23,262.08
106,20110317,272.0,279.45,272.0,275.9,2219,260.45,265.73,262.86,263.67,262.11,260.42,253.45,233.5,233.5,262.11,269.86,264.79,262.02,263.01
107,20110318,282.0,284.0,275.0,277.0,2228,262.2,266.46,263.26,263.97,262.82,260.98,254.58,235.2,235.2,262.82,272.58,267.21,261.78,263.97
108,20110321,266.05,284.0,266.05,279.5,540,264.1,267.3,263.66,264.37,263.64,262.23,255.82,237.71,237.71,263.64,275.13,269.78,261.6,265.05
109,20110322,280.25,285.0,275.0,283.65,6096,266.35,268.36,264.07,264.87,264.47,264.3,257.9,241.05,241.05,264.47,277.78,272.78,261.57,266.34
110,20110323,282.25,292.0,279.0,286.85,5741,268.79,269.55,264.29,265.65,265.52,265.9,259.5,245.31,245.31,265.52,280.61,275.97,261.75,267.78
111,20110324,280.0,297.0,280.0,295.1,28405,272.03,271.2,265.03,266.98,266.85,272.8,263.62,250.29,250.29,266.85,284.21,280.23,262.15,269.69
112,20110325,294.95,306.0,287.55,303.15,104362,275.97,273.26,266.53,268.95,268.45,279.42,271.58,256.57,256.57,268.45,288.92,285.4,262.82,272.03
113,20110328,300.0,307.0,290.2,305.65,38631,279.84,275.35,268.83,271.04,270.1,282.82,275.32,264.02,264.02,270.1,294.12,290.32,263.77,274.43
114,20110329,301.0,303.8,290.1,295.65,5165,282.08,276.66,271.38,271.45,270.68,282.82,277.82,271.51,271.51,270.68,297.75,292.77,264.91,276.08
115,20110330,290.55,301.8,290.55,300.0,6113,284.65,278.17,274.09,272.24,271.58,285.82,278.42,277.66,277.66,271.58,300.15,295.63,266.28,277.97
116,20110331,292.05,304.4,292.0,301.85,317777,287.19,279.69,276.22,273.5,272.78,287.92,278.42,282.7,282.7,272.78,301.8,298.41,267.87,279.93
117,20110401,302.0,302.5,290.15,294.6,541,288.56,280.65,277.7,274.11,273.71,287.92,283.38,286.83,286.83,273.71,302.03,299.45,269.6,281.34
118,20110404,298.0,298.0,291.0,291.55,606,289.41,281.36,278.7,274.61,274.64,288.32,285.45,290.15,290.15,274.64,300.87,299.74,271.41,282.49
119,20110405,290.1,300.0,290.0,299.45,1533,291.15,282.52,279.51,275.27,275.5,290.77,285.85,305.65,-305.65,275.5,299.89,301.35,273.3,284.09
120,20110406,303.0,303.0,295.4,300.15,642,292.8,283.66,280.92,275.81,276.2,291.32,285.85,305.34,-305.34,276.2,299.47,302.81,275.32,285.68
121,20110407,301.9,305.0,292.75,304.8,10129,294.85,285.03,282.24,276.75,277.19,292.58,285.85,305.03,-305.03,277.19,300.03,304.85,277.5,287.52
122,20110408,300.0,305.0,299.0,303.9,12408,296.57,286.24,283.41,278.15,278.48,294.65,290.32,304.8,-304.8,278.48,301.06,306.4,279.79,289.25
123,20110411,301.0,304.0,286.5,291.95,3539,296.62,286.61,284.74,278.78,279.7,296.25,292.32,304.8,-304.8,279.7,300.77,305.52,282.08,290.12
124,20110413,299.85,300.0,280.0,285.25,1570,295.8,286.52,285.97,279.11,280.99,295.45,292.82,304.07,-304.07,280.99,298.58,303.45,284.28,290.47
125,20110415,286.0,289.5,265.0,270.45,4033,293.2,285.49,286.83,278.93,281.67,288.05,285.32,302.62,-302.62,281.67,293.65,298.88,286.25,289.79
126,20110418,279.9,279.9,258.05,264.95,2870,290.13,284.16,287.74,278.69,282.26,285.3,281.85,299.61,-299.61,282.26,286.77,293.83,287.95,288.71
127,20110419,261.0,267.4,251.9,256.1,10663,286.24,282.35,287.94,278.44,282.64,280.45,278.35,295.46,-295.46,282.64,278.58,287.75,289.25,287.03
128,20110420,251.0,269.75,251.0,264.05,3300,283.71,281.17,287.59,278.25,283.09,280.45,277.9,290.23,-290.23,283.09,271.52,283.85,290.13,285.83
129,20110421,259.9,268.5,255.2,258.4,1193,280.7,279.7,286.83,278.14,283.18,280.45,277.9,284.74,-284.74,283.18,265.7,279.4,290.63,284.24
