,Date,Open,High,Low,Close,Volume,DEMA,EMA,HT_TRENDLINE,KAMA,MA,MIDPOINT,MIDPRICE,SAR,SAREXT,SMA,T3,TEMA,TRIMA,WMA
0,20070816,588.0,594.9,551.0,557.85,860905,,,,,,,,,,,,,,
1,20070817,546.05,581.0,534.0,575.15,1338154,,,,,,,,575.15,-575.15,,,,,
2,20070820,585.0,609.0,577.0,604.65,878025,,,,,,,,534.0,534.0,,,,,
3,20070821,613.9,613.9,587.0,590.9,441898,,,,,,,,534.0,534.0,,,,,
4,20070822,592.0,599.7,561.15,582.55,551499,,,,,,,,535.41,535.41,,,,,
5,20070823,602.0,614.0,565.75,582.5,629828,,,,,,,,536.8,536.8,,,,,
6,20070824,577.0,597.0,565.1,570.95,745735,,,,,,,,538.15,538.15,,,,,
7,20070827,586.0,586.0,575.15,577.45,578904,,,,,,,,539.48,539.48,,,,,
8,20070828,583.8,607.5,577.2,599.9,1378607,,,,,,,,540.79,540.79,,,,,
9,20070829,594.0,624.0,582.0,612.5,2583362,,,,,,,,542.07,542.07,,,,,
10,20070830,620.0,634.7,612.0,629.65,4213178,,,,,,,,544.88,544.88,,,,,
11,20070831,633.0,643.0,631.3,635.0,699623,,,,,,,,549.97,549.97,,,,,
12,20070903,635.0,640.9,625.0,637.35,777049,,,,,,,,556.77,556.77,,,,,
13,20070904,640.0,671.0,639.9,658.85,1101122,,,,,,608.35,596.42,564.83,564.83,,,,,
14,20070905,659.9,675.4,659.9,666.65,765902,,,,,,618.8,600.33,576.11,576.11,,,,,
15,20070906,652.3,669.7,652.3,659.75,578519,,,,,,618.8,613.9,588.79,588.79,,,,,
16,20070907,661.25,664.9,650.0,651.2,324459,,,,,,618.8,613.9,599.69,599.69,,,,,
17,20070910,621.0,657.0,612.65,649.6,351471,,,,,,618.8,613.9,609.06,609.06,,,,,
18,20070911,654.7,658.9,645.0,646.95,222745,,,,,,618.8,615.88,612.65,612.65,,,,,
19,20070912,658.4,658.4,645.1,646.6,349171,,,,,,618.8,615.88,612.65,612.65,,,,,
20,20070913,648.0,666.6,648.0,659.5,505701,,,,,,622.05,620.9,620.21,620.21,,,,,
21,20070914,660.0,672.0,642.2,650.0,698468,,,,,,633.28,621.92,626.71,626.71,,,,,
22,20070917,646.0,661.5,641.0,658.65,459555,,,,,,639.58,624.33,632.3,632.3,,,,,
23,20070918,656.0,669.4,652.9,660.3,614081,,,,,,648.15,639.33,637.11,637.11,,,,,
24,20070919,680.0,697.0,670.0,684.2,1012879,,,,,,659.6,648.42,641.0,641.0,,660.73,,,
25,20070920,692.0,712.0,681.5,706.15,1214695,,,,,,671.75,659.4,647.91,647.91,,669.12,,,
26,20070921,707.0,714.0,703.0,709.7,486857,,,,,,678.15,661.18,658.39,658.39,,679.95,,,
27,20070924,712.0,743.0,710.05,732.1,542983,,,,,,689.35,672.38,668.66,668.66,,693.3,,,
28,20070925,730.0,740.7,728.1,739.55,644897,,,,,,693.08,676.1,681.34,681.34,,707.6,,,
29,20070926,740.0,760.05,740.0,755.75,934521,,643.06,,,643.06,701.18,684.2,692.99,692.99,643.06,722.52,,641.94,669.73
30,20070927,770.0,776.0,759.8,768.7,982665,,651.17,,758.27,650.09,707.65,690.68,705.54,705.54,650.09,737.62,,647.09,677.83
31,20070928,771.0,775.0,752.65,764.6,975475,,658.49,,759.37,656.41,707.65,704.85,718.17,718.17,656.41,750.59,,652.3,685.22
32,20071001,766.9,772.5,744.0,751.5,643127,,664.49,,758.39,661.3,707.65,704.85,728.28,728.28,661.3,758.84,,657.61,691.36
33,20071003,753.0,766.0,729.9,757.6,1013348,,670.5,,758.27,666.86,709.35,704.85,768.7,-768.7,666.86,763.53,,663.19,697.57
34,20071004,759.7,764.9,725.0,754.8,771698,,675.93,,757.66,672.6,709.35,704.85,767.92,-767.92,672.6,765.35,,668.99,703.24
35,20071005,753.55,762.0,731.0,738.9,325965,,680.0,,755.12,677.81,713.68,704.85,766.21,-766.21,677.81,763.42,,674.85,707.52
36,20071008,740.0,747.7,689.0,715.65,364012,,682.3,,750.69,682.64,714.5,710.8,764.56,-764.56,682.64,756.46,,680.67,709.96
37,20071009,705.0,734.7,699.1,729.55,375349,,685.35,,748.21,687.71,726.45,719.35,760.03,-760.03,687.71,748.51,,686.46,712.99
38,20071010,739.95,766.0,736.25,762.2,666478,,690.3,,749.95,693.12,737.42,725.1,689.0,689.0,693.12,745.31,,692.33,717.79
39,20071011,768.0,770.0,748.0,759.75,507316,,694.78,,751.04,698.02,739.2,728.85,690.46,690.46,698.02,746.03,,698.26,722.09
40,20071012,760.0,767.75,740.0,744.05,232221,,697.96,,750.51,701.84,742.18,728.85,691.9,691.9,701.84,747.02,,704.05,725.06
41,20071015,753.0,831.0,752.0,820.0,1316528,,705.84,,758.73,708.0,767.82,754.5,693.3,693.3,708.0,756.22,,709.98,732.68
42,20071016,834.7,903.0,823.1,886.7,1528678,,717.5,,778.07,716.32,801.18,787.85,698.37,698.37,716.32,778.67,,716.25,744.21
