,Date,Open,High,Low,Close,Volume,DEMA,EMA,HT_TRENDLINE,KAMA,MA,MIDPOINT,MIDPRICE,SAR,SAREXT,SMA,T3,TEMA,TRIMA,WMA
0,20080526,600.0,619.0,501.0,509.1,3145446,,,,,,,,,,,,,,
1,20080527,505.0,610.95,491.1,554.65,4349144,,,,,,,,554.65,-554.65,,,,,
2,20080528,564.0,665.6,564.0,640.95,4588759,,,,,,,,491.1,491.1,,,,,
3,20080529,656.65,703.0,608.0,632.4,4522302,,,,,,,,491.1,491.1,,,,,
4,20080530,642.4,668.0,588.3,644.0,3057669,,,,,,,,494.1,494.1,,,,,
5,20080602,650.0,699.0,622.0,686.95,2247399,,,,,,,,500.09,500.09,,,,,
6,20080603,672.0,689.8,632.55,672.05,2299383,,,,,,,,511.3,511.3,,,,,
7,20080604,674.0,674.0,566.6,598.95,2832725,,,,,,,,521.84,521.84,,,,,
8,20080605,603.0,639.8,572.3,631.85,1344712,,,,,,,,531.75,531.75,,,,,
9,20080606,639.25,642.9,608.05,630.9,794722,,,,,,,,541.06,541.06,,,,,
10,20080609,620.0,648.0,580.0,629.9,758393,,,,,,,,549.81,549.81,,,,,
11,20080610,618.0,675.0,618.0,669.25,939180,,,,,,,,558.04,558.04,,,,,
12,20080611,672.0,682.0,641.1,653.5,750714,,,,,,,,565.78,565.78,,,,,
13,20080612,629.0,638.45,601.0,605.9,414320,,,,,,598.03,589.03,573.05,573.05,,,,,
14,20080613,607.0,624.5,572.75,580.8,458514,,,,,,620.8,589.03,686.95,-686.95,,,,,
15,20080616,595.0,618.0,587.25,614.05,496439,,,,,,633.88,625.48,684.67,-684.67,,,,,
16,20080617,610.0,626.0,605.1,611.05,248850,,,,,,633.88,626.78,682.43,-682.43,,,,,
17,20080618,615.0,617.2,585.1,591.95,142386,,,,,,633.88,626.78,680.23,-680.23,,,,,
18,20080619,580.0,625.0,578.05,611.85,468038,,,,,,633.88,626.78,678.08,-678.08,,,,,
19,20080620,603.0,618.25,532.0,554.95,289352,,,,,,613.5,602.02,675.98,-675.98,,,,,
20,20080623,551.0,575.9,550.0,565.4,514992,,,,,,612.1,600.62,670.22,-670.22,,,,,
21,20080624,565.5,572.0,537.0,549.15,294467,,,,,,609.2,600.62,664.69,-664.69,,,,,
22,20080625,542.0,632.5,540.0,577.1,124264,,,,,,609.2,600.62,659.38,-659.38,,,,,
23,20080626,578.0,600.0,578.0,590.25,134458,,,,,,609.2,600.62,654.29,-654.29,,,,,
24,20080627,585.0,585.0,550.0,562.0,170967,,,,,,609.2,600.62,649.4,-649.4,,566.78,,,
25,20080630,565.0,570.0,520.0,537.85,105379,,,,,,595.67,586.75,644.7,-644.7,,562.42,,,
26,20080701,535.0,536.9,502.65,517.75,86030,,,,,,565.9,558.35,637.22,-637.22,,553.62,,,
27,20080702,511.0,530.0,495.0,522.55,225316,,,,,,565.9,554.52,626.45,-626.45,,543.49,,,
28,20080703,495.2,513.85,446.0,478.5,291484,,,,,,546.28,530.02,613.31,-613.31,,529.11,,,
29,20080704,471.35,500.0,447.0,499.7,98707,,590.84,,,590.84,545.17,528.92,593.23,-593.23,590.84,515.71,,604.01,572.16
30,20080707,494.65,544.0,494.65,521.8,422193,,586.39,,499.82,591.26,545.17,528.92,575.56,-575.56,591.26,507.93,,599.64,567.7
31,20080708,475.8,518.0,475.8,510.95,236281,,581.52,,499.93,589.81,545.17,528.92,560.02,-560.02,589.81,504.04,,594.41,562.52
32,20080709,550.0,550.0,512.0,518.05,91041,,577.43,,500.46,585.71,534.38,518.12,546.33,-546.33,585.71,503.49,,588.64,557.89
33,20080710,515.0,519.85,500.0,506.8,83723,,572.87,,500.65,581.52,534.38,518.12,534.29,-534.29,581.52,503.66,,582.64,552.8
34,20080711,519.9,520.0,466.65,478.95,45764,,566.81,,499.75,576.02,534.38,518.12,523.7,-523.7,576.02,500.6,,576.41,546.18
35,20080714,498.0,498.0,455.0,461.9,79049,,560.04,,497.17,568.52,526.08,518.12,514.37,-514.37,568.52,493.27,,570.11,538.82
36,20080715,447.0,463.0,436.05,448.5,52550,,552.85,,493.87,561.07,519.38,513.15,506.17,-506.17,561.07,482.46,,563.91,531.08
