,Date,Open,High,Low,Close,Volume,DEMA,EMA,HT_TRENDLINE,KAMA,MA,MIDPOINT,MIDPRICE,SAR,SAREXT,SMA,T3,TEMA,TRIMA,WMA
0,20050103,170.0,184.4,170.0,181.3,137589,,,,,,,,,,,,,,
1,20050104,184.5,191.35,182.0,187.3,182729,,,,,,,,170.0,170.0,,,,,
2,20050105,182.55,187.0,172.0,178.2,82113,,,,,,,,170.35,170.35,,,,,
3,20050106,175.0,179.0,174.0,176.1,43578,,,,,,,,170.69,170.69,,,,,
4,20050107,176.1,181.0,175.0,178.05,24427,,,,,,,,171.02,171.02,,,,,
5,20050110,180.0,181.8,174.0,175.55,23864,,,,,,,,171.34,171.34,,,,,
6,20050111,175.0,176.5,170.0,170.7,15818,,,,,,,,187.3,-187.3,,,,,
7,20050112,170.5,171.3,161.25,167.1,34904,,,,,,,,186.95,-186.95,,,,,
8,20050113,170.0,174.9,170.0,173.65,29223,,,,,,,,185.93,-185.93,,,,,
9,20050114,175.45,175.45,171.0,173.05,24425,,,,,,,,184.94,-184.94,,,,,
10,20050117,174.0,174.0,166.0,167.25,12079,,,,,,,,183.99,-183.99,,,,,
11,20050118,170.9,171.0,168.5,169.5,7120,,,,,,,,183.08,-183.08,,,,,
12,20050119,170.0,173.45,170.0,171.85,12498,,,,,,,,182.21,-182.21,,,,,
13,20050120,170.0,173.0,168.3,170.15,19792,,,,,,177.2,174.28,181.37,-181.37,,,,,
14,20050124,172.0,175.0,170.5,173.35,22308,,,,,,177.2,174.28,180.57,-180.57,,,,,
15,20050125,173.35,176.5,172.1,176.1,26380,,,,,,172.65,169.72,179.79,-179.79,,,,,
16,20050127,176.1,180.45,175.1,179.8,40623,,,,,,173.45,170.52,161.25,161.25,,,,,
17,20050128,180.0,182.7,178.0,181.75,55015,,,,,,174.42,171.5,161.62,161.62,,,,,
18,20050131,182.0,186.4,180.25,184.55,61272,,,,,,175.82,172.9,162.43,162.43,,,,,
19,20050201,185.0,187.0,181.0,184.1,37343,,,,,,175.82,172.9,163.75,163.75,,,,,
20,20050202,181.65,186.2,181.65,183.0,21753,,,,,,175.82,172.9,165.0,165.0,,,,,
21,20050203,187.0,191.4,181.6,189.1,71223,,,,,,178.18,177.55,166.17,166.17,,,,,
22,20050204,184.55,202.5,184.35,201.55,204325,,,,,,184.4,183.78,168.01,168.01,,,,,
23,20050207,203.9,205.0,193.0,194.4,49797,,,,,,184.4,183.78,171.36,171.36,,,,,
24,20050208,194.7,199.5,192.25,193.35,34363,,,,,,185.52,184.92,174.38,174.38,,192.83,,,
25,20050209,194.9,202.0,194.9,201.35,37708,,,,,,185.85,184.92,177.1,177.1,,195.29,,,
26,20050210,203.25,203.25,196.5,197.55,26452,,,,,,185.85,184.92,179.54,179.54,,197.19,,,
27,20050211,199.7,203.0,198.0,201.85,51355,,,,,,187.6,186.18,181.74,181.74,,198.93,,,
28,20050214,203.0,210.0,200.0,202.1,114604,,,,,,189.1,187.1,184.16,184.16,,200.47,,,
29,20050215,203.5,207.0,195.0,196.3,28953,,182.67,,,182.67,190.95,188.6,186.67,186.67,182.67,201.02,,179.51,187.3
30,20050216,198.0,200.0,190.1,192.35,32063,,183.29,,196.24,183.03,191.92,190.05,188.83,188.83,183.03,200.28,,180.64,187.93
31,20050217,191.95,196.45,191.95,195.55,22405,,184.08,,196.23,183.31,192.55,191.18,190.1,190.1,183.31,199.14,,181.85,188.74
32,20050218,197.0,199.45,193.2,193.55,10444,,184.69,,196.17,183.82,192.55,191.55,190.1,190.1,183.82,197.8,,183.14,189.4
33,20050221,193.1,197.45,193.1,196.2,28932,,185.43,,196.17,184.49,192.55,191.85,191.78,191.78,184.49,196.81,,184.47,190.2
34,20050222,195.9,198.0,195.5,196.75,16642,,186.16,,196.19,185.11,195.6,191.85,193.1,193.1,185.11,196.29,,185.81,190.99
35,20050223,197.0,197.85,196.0,197.05,12328,,186.87,,196.22,185.83,197.22,193.22,193.1,193.1,185.83,196.16,,187.19,191.76
36,20050224,197.95,198.75,197.6,198.0,18407,,187.58,,196.31,186.74,197.22,196.1,194.36,194.36,186.74,196.37,,188.57,192.54
37,20050225,198.9,202.0,196.0,196.75,32389,,188.18,,196.34,187.73,197.22,196.1,195.44,195.44,187.73,196.6,,189.86,193.19
38,20050228,197.6,201.9,179.0,197.6,12224,,188.78,,196.4,188.53,197.22,190.55,202.1,-202.1,188.53,196.87,,191.02,193.83
39,20050301,195.3,197.35,191.55,195.0,18092,,189.19,,196.34,189.26,197.22,190.55,201.64,-201.64,189.26,196.82,,192.09,194.24
40,20050302,196.0,198.0,195.8,196.9,7027,,189.68,,196.38,190.25,197.22,190.55,201.19,-201.19,190.25,196.74,,193.07,194.74
41,20050303,199.0,199.9,197.0,198.65,11610,,190.26,,196.53,191.22,197.22,190.55,200.74,-200.74,191.22,196.92,,193.9,195.28
42,20050304,200.0,200.0,197.0,199.15,19539,,190.83,,196.69,192.13,195.75,189.08,200.31,-200.31,192.13,197.34,,194.61,195.79
43,20050307,200.0,210.0,198.0,202.45,44347,,191.58,,197.14,193.2,197.4,190.72,179.0,179.0,193.2,198.24,,195.2,196.46
44,20050308,203.0,209.6,203.0,205.55,29063,,192.49,,197.8,194.28,199.55,192.28,179.47,179.47,194.28,199.74,,195.69,197.25
45,20050309,206.9,207.0,200.0,201.95,34068,,193.1,,198.02,195.14,199.55,192.28,180.51,180.51,195.14,201.05,,196.12,197.75
46,20050310,204.45,204.7,200.1,200.7,15238,,193.59,,198.14,195.84,200.28,192.28,181.51,181.51,195.84,201.8,,196.51,198.11
47,20050311,203.1,221.0,201.0,211.7,122583,,194.76,,198.98,196.83,203.35,195.35,182.48,182.48,196.83,203.35,,196.91,199.13
48,20050314,215.9,226.5,210.5,212.2,66912,,195.88,,199.73,197.76,203.6,195.6,184.23,184.23,197.76,205.52,,197.32,200.12
49,20050315,213.5,215.45,204.0,207.1,26475,,196.6,,200.03,198.52,203.6,195.6,186.47,186.47,198.52,207.2,,197.73,200.72
50,20050316,210.0,211.4,205.2,205.9,15077,,197.2,,200.27,199.29,203.6,195.6,188.53,188.53,199.29,208.05,,198.13,201.2
51,20050317,206.75,207.85,205.0,205.05,24527,,197.71,,200.4,199.82,203.6,195.6,190.42,190.42,199.82,208.13,,198.49,201.57
52,20050318,203.7,204.0,198.0,200.25,12845,,197.87,,200.4,199.77,203.6,201.88,192.16,192.16,199.77,207.19,,198.83,201.6
53,20050321,201.25,202.4,196.05,197.95,6846,,197.88,,200.38,199.89,204.55,204.0,193.76,193.76,199.89,205.41,,199.2,201.48
54,20050322,197.0,198.0,191.5,192.7,7404,,197.54,,200.34,199.87,202.45,201.85,212.2,-212.2,199.87,202.71,,199.54,201.02
55,20050323,190.0,194.0,175.35,192.3,17501,,197.21,,200.2,199.57,202.25,193.77,211.79,-211.79,199.57,199.69,,199.86,200.53
56,20050324,192.0,195.0,185.0,186.05,7769,,196.49,,199.89,199.19,199.12,193.77,210.33,-210.33,199.19,196.17,,200.14,199.66
57,20050328,188.0,192.0,186.0,190.55,12837,,196.1,,199.68,198.81,199.12,193.77,208.93,-208.93,198.81,193.22,,200.38,199.1
58,20050329,186.8,192.0,185.0,189.3,9685,199.68,195.66,,199.43,198.38,199.12,193.77,207.59,-207.59,198.38,190.98,,200.57,198.49
59,20050330,188.8,191.5,187.0,188.45,6625,198.52,195.2,,199.25,198.12,199.12,193.77,206.3,-206.3,198.12,189.35,,200.7,197.84
60,20050331,190.0,199.7,190.0,197.45,8683,198.59,195.34,,199.23,198.29,199.12,193.77,205.06,-205.06,198.29,189.3,,200.77,197.8
61,20050401,195.0,199.7,195.0,195.8,5036,198.44,195.37,,199.22,198.3,199.12,193.77,203.87,-203.87,198.3,190.21,,200.77,197.64
62,20050404,196.0,198.95,193.0,195.2,8838,198.22,195.36,,199.2,198.35,196.58,191.22,202.73,-202.73,198.35,191.44,,200.69,197.44
63,20050405,195.0,197.95,188.1,191.6,18144,197.56,195.12,198.81,199.12,198.2,195.98,190.62,201.63,-201.63,198.2,192.2,,200.45,197.0
64,20050406,192.0,194.25,189.5,192.15,28291,197.04,194.93,198.58,199.05,198.05,195.55,190.2,200.58,-200.58,198.05,192.53,,200.07,196.61
65,20050407,193.95,194.0,190.0,190.15,4476,196.3,194.62,198.28,198.94,197.82,193.15,187.8,199.57,-199.57,197.82,192.35,,199.59,196.1
66,20050408,192.0,193.9,190.0,190.05,6622,195.62,194.33,197.86,198.8,197.55,192.0,186.65,198.6,-198.6,197.55,191.87,,199.01,195.6
67,20050411,185.5,192.1,185.5,191.2,3296,195.15,194.12,197.35,198.72,197.37,191.75,186.4,197.67,-197.67,197.37,191.42,,198.36,195.19
68,20050412,192.5,199.0,192.5,193.1,15370,194.96,194.06,196.86,198.66,197.22,191.75,186.4,196.78,-196.78,197.22,191.34,,197.67,194.92
