,Date,Open,High,Low,Close,Volume,DEMA,EMA,HT_TRENDLINE,KAMA,MA,MIDPOINT,MIDPRICE,SAR,SAREXT,SMA,T3,TEMA,TRIMA,WMA
0,20050103,127.9,128.45,124.5,125.3,525246,,,,,,,,,,,,,,
1,20050104,125.75,126.9,122.5,122.9,409033,,,,,,,,125.3,-125.3,,,,,
2,20050105,123.0,132.35,114.15,122.2,1883223,,,,,,,,125.24,-125.24,,,,,
3,20050106,122.2,123.5,117.05,118.25,817331,,,,,,,,124.8,-124.8,,,,,
4,20050107,119.0,123.0,118.5,120.25,496191,,,,,,,,124.37,-124.37,,,,,
5,20050110,120.5,125.85,119.5,120.15,591911,,,,,,,,123.97,-123.97,,,,,
6,20050111,120.95,122.0,112.3,113.65,497210,,,,,,,,123.57,-123.57,,,,,
7,20050112,115.1,116.85,106.75,107.95,997869,,,,,,,,122.9,-122.9,,,,,
8,20050113,108.55,112.75,107.1,108.0,766875,,,,,,,,121.6,-121.6,,,,,
9,20050114,109.7,109.8,102.1,103.5,791829,,,,,,,,120.42,-120.42,,,,,
10,20050117,104.9,113.85,97.6,113.85,2172086,,,,,,,,118.58,-118.58,,,,,
11,20050118,116.4,125.25,115.6,125.25,4461821,,,,,,,,97.6,97.6,,,,,
12,20050119,128.0,134.5,123.15,127.7,6905940,,,,,,,,97.6,97.6,,,,,
13,20050120,126.9,126.9,118.2,119.8,1808046,,,,,,115.6,112.65,98.8,98.8,,,,,
14,20050124,120.7,130.25,116.3,125.75,4113951,,,,,,115.6,112.65,99.96,99.96,,,,,
15,20050125,125.5,131.35,121.5,126.7,3533440,,,,,,115.6,112.65,101.07,101.07,,,,,
16,20050127,127.9,131.2,127.0,128.65,1768173,,,,,,116.08,113.12,102.13,102.13,,,,,
17,20050128,129.8,134.0,129.1,129.8,1761112,,,,,,116.65,113.7,103.73,103.73,,,,,
18,20050131,131.6,138.35,130.0,135.1,3532166,,,,,,119.3,116.35,105.81,105.81,,,,,
19,20050201,136.5,143.9,133.1,142.35,3786590,,,,,,122.92,119.98,108.74,108.74,,,,,
20,20050202,141.95,149.3,141.0,145.45,3569968,,,,,,124.48,121.52,112.77,112.77,,,,,
21,20050203,146.6,151.9,145.5,146.65,2532702,,,,,,125.08,122.12,117.35,117.35,,,,,
22,20050204,147.95,149.45,142.1,143.15,1443968,,,,,,125.08,122.12,122.04,122.04,,,,,
23,20050207,143.0,145.75,139.35,140.25,1331759,,,,,,130.25,122.12,125.97,125.97,,,,,
