Date,Open,High,Low,Close,AveragePrice,Total Traded Quantity,Turnover,SMA,EMA
05-Mar-2020,187.55,191.2,186.55,187.6,188.05,20025924,3782197171.45,NaN,NaN
06-Mar-2020,184.85,184.85,179.75,181.4,181.75,26764504,4870964712.15,NaN,NaN
09-Mar-2020,179,179,174.5,176.75,177.2,21795899,3861308623.15,NaN,NaN
11-Mar-2020,174,176.75,172.35,176.25,175.65,27957737,4878568815.1,NaN,NaN
12-Mar-2020,169,169.15,150.55,155.8,155.8,52040944,8229213336.4,NaN,NaN
13-Mar-2020,150,164,134.6,163.4,162.25,61592332,9564478910.75,172.74,51.93334372
16-Mar-2020,158,158.1,145.25,147.55,147.25,33255085,5016491056.9,162.35,88.7055698344438
17-Mar-2020,148,155.8,146.05,149.15,149.15,47658462,7224900485,155.45,108.220383792591
18-Mar-2020,152.1,154.65,147.35,151.4,150.7,50248786,7590057352.85,149.76,121.863591923702
19-Mar-2020,150.7,163.55,144.75,160.9,161.85,89753683,13858883275.85,144.76,131.475729871562
20-Mar-2020,165.1,176.5,165.1,176.35,175.5,61997991,10665108502.65,143.6,141.600488605993
23-Mar-2020,158,162,149.2,155,154.3,51354135,7980277585,149.7,152.900327997296
24-Mar-2020,162.95,163.7,147.4,151,149.7,52569242,7950911046.1,150.49,153.366885424842
25-Mar-2020,151,152,139,147.05,147.35,62506221,9000105590.05,150.76,152.144590038769
26-Mar-2020,150,159.4,143.25,156.8,156.4,58443502,8816939242.7,149.09,150.54639303954
27-Mar-2020,162,166,155,163.25,163.2,32636891,5236588359.75,148.79,152.497595749934
30-Mar-2020,156.05,164.9,156.05,160.15,159.2,28120394,4566682077.25,146.77,156.065064546783
31-Mar-2020,164,173.85,161.55,169.9,171.7,42630922,7141798426.45,148.14,157.110043240184
01-Apr-2020,171.7,172.75,164.55,166.65,166.4,18142049,3040521387.35,150.97,161.973363132787
03-Apr-2020,167.9,182.75,167,177.5,177.9,62868085,11009282014.05,156.08,163.4489090503
07-Apr-2020,185.7,185.7,173.65,181.4,181.55,36119016,6481702914.9,160.83,168.265940330273
08-Apr-2020,180.85,184,176.65,178.6,178.65,37561322,6744718284.15,164.56,172.693961105786
09-Apr-2020,184,186.25,180,184.85,185.25,42643743,7830631145.55,168.68,174.679307800927
13-Apr-2020,184.5,186.65,181.05,181.9,181.6,17744825,3254817711.85,172.37,178.202872571997
15-Apr-2020,184.05,193.75,182.7,190.25,189.35,49092959,9306140489.75,175.67,179.335248607807
16-Apr-2020,189.65,191.2,185.45,187.1,186.35,27082646,5088737088.6,178.81,182.673499739521
17-Apr-2020,190.45,191.4,186.95,188.15,188.1,26669272,5037662353.7,181.17,183.899000071447
20-Apr-2020,189.95,189.95,179.5,180.9,180.7,35767070,6497897849,183.23,185.299333661032
21-Apr-2020,178,184.3,176.05,179.5,179.6,23334550,4222814177.2,183.13,183.766222134066
22-Apr-2020,179,183.55,176,182.65,182.25,25164099,4553989729.4,182.13,182.377481144962
23-Apr-2020,182.95,184,179.65,181.2,180.55,32968241,5996601748.6,180.79,182.334987421476
24-Apr-2020,181,182.8,179.3,179.85,180.05,18050148,3260993060.95,179.63,181.739991495318
27-Apr-2020,180.25,182.3,179.3,180,179.85,13086773,2366417399.45,178.1,181.176660884213
28-Apr-2020,180,180.8,178.05,180.6,179.45,17802711,3193970079,178.06,180.734440501031
29-Apr-2020,180.5,182.9,179.65,182.05,182.15,21461158,3893831952.55,178.46,180.306293581725
30-Apr-2020,184.9,184.9,180.45,181.05,182.05,30169126,5514079226.65,179.19,180.92086251073
04-May-2020,181.75,181.75,170.65,173.5,174.05,30298058,5296023986.75,179.35,181.297241749096
05-May-2020,175,177.45,172,174,173.9,17709577,3104426107.75,177.62,178.881494016248
06-May-2020,171.4,171.4,160.5,164.95,163.9,65586753,10725120327.55,176.16,177.220995678732
07-May-2020,164,165.85,160.5,161.15,161,24249898,3945146899.55,172.65,172.780662897755
08-May-2020,163.95,164.15,157.1,158.5,158.25,25307551,4040860526.35,168.82,168.853774479793
11-May-2020,160,163.5,158,159.25,158.45,18095693,2912847374.2,164.15,165.31918227961
12-May-2020,158.45,165.9,157.5,165.5,165.05,21387983,3450209830.5,161.62,163.029454395128
