,Date,Open,High,Low,Close,AveragePrice,Total Traded Quantity,Turnover,SMA,EMA,DEMA,HT_TRENDLINE,KAMA,MA,MIDPOINT,MIDPRICE,SAR,SAREXT,T3,TEMA,TRIMA,WMA
0,05-Mar-2020,187.55,191.2,186.55,187.6,188.05,20025924,3782197171.45,,,,,,,,,,,,,,
1,06-Mar-2020,184.85,184.85,179.75,181.4,181.75,26764504,4870964712.15,,,,,,,,,187.6,-187.6,,,,
2,09-Mar-2020,179.0,179.0,174.5,176.75,177.2,21795899,3861308623.15,,,,,,,,,187.44,-187.44,,,,
3,11-Mar-2020,174.0,176.75,172.35,176.25,175.65,27957737,4878568815.1,,,,,,,,,186.93,-186.93,,,,
4,12-Mar-2020,169.0,169.15,150.55,155.8,155.8,52040944,8229213336.4,,,,,,,,,186.05,-186.05,,,,
5,13-Mar-2020,150.0,164.0,134.6,163.4,162.25,61592332,9564478910.75,,,,,,,,,183.21,-183.21,,,,
6,16-Mar-2020,158.0,158.1,145.25,147.55,147.25,33255085,5016491056.9,,,,,,,,,178.35,-178.35,,,,
7,17-Mar-2020,148.0,155.8,146.05,149.15,149.15,47658462,7224900485.0,,,,,,,,,173.97,-173.97,,,,
8,18-Mar-2020,152.1,154.65,147.35,151.4,150.7,50248786,7590057352.85,,,,,,,,,170.04,-170.04,,,,
9,19-Mar-2020,150.7,163.55,144.75,160.9,161.85,89753683,13858883275.85,,,,,,,,,166.49,-166.49,,,,
10,20-Mar-2020,165.1,176.5,165.1,176.35,175.5,61997991,10665108502.65,,,,,,,,,134.6,134.6,,,,
11,23-Mar-2020,158.0,162.0,149.2,155.0,154.3,51354135,7980277585.0,,,,,,,,,135.44,135.44,,,,
12,24-Mar-2020,162.95,163.7,147.4,151.0,149.7,52569242,7950911046.1,,,,,,,,,136.25,136.25,,,,
13,25-Mar-2020,151.0,152.0,139.0,147.05,147.35,62506221,9000105590.05,,,,,,,167.32,161.1,137.06,137.06,,,,
14,26-Mar-2020,150.0,159.4,143.25,156.8,156.4,58443502,8816939242.7,,,,,,,164.23,158.0,137.84,137.84,,,,
15,27-Mar-2020,162.0,166.0,155.0,163.25,163.2,32636891,5236588359.75,,,,,,,161.9,155.68,138.61,138.61,,,,
16,30-Mar-2020,156.05,164.9,156.05,160.15,159.2,28120394,4566682077.25,,,,,,,161.7,155.48,139.37,139.37,,,,
17,31-Mar-2020,164.0,173.85,161.55,169.9,171.7,42630922,7141798426.45,,,,,,,161.7,155.48,140.11,140.11,,,,
18,01-Apr-2020,171.7,172.75,164.55,166.65,166.4,18142049,3040521387.35,,,,,,,161.7,155.48,140.83,140.83,,,,
19,03-Apr-2020,167.9,182.75,167.0,177.5,177.9,62868085,11009282014.05,,,,,,,162.28,158.25,141.54,141.54,,,,
20,07-Apr-2020,185.7,185.7,173.65,181.4,181.55,36119016,6481702914.9,,,,,,,164.23,160.2,142.98,142.98,,,,
21,08-Apr-2020,180.85,184.0,176.65,178.6,178.65,37561322,6744718284.15,,,,,,,164.23,160.2,145.28,145.28,,,,
22,09-Apr-2020,184.0,186.25,180.0,184.85,185.25,42643743,7830631145.55,,,,,,,165.95,161.93,147.45,147.45,,,,
23,13-Apr-2020,184.5,186.65,181.05,181.9,181.6,17744825,3254817711.85,,,,,,,165.95,161.93,150.44,150.44,,,,
24,15-Apr-2020,184.05,193.75,182.7,190.25,189.35,49092959,9306140489.75,,,,,,,168.65,164.62,153.2,153.2,182.97,,,
25,16-Apr-2020,189.65,191.2,185.45,187.1,186.35,27082646,5088737088.6,,,,,,,168.65,164.62,156.9,156.9,185.53,,,
26,17-Apr-2020,190.45,191.4,186.95,188.15,188.1,26669272,5037662353.7,,,,,,,168.65,164.62,160.24,160.24,187.45,,,
27,20-Apr-2020,189.95,189.95,179.5,180.9,180.7,35767070,6497897849.0,,,,,,,173.52,166.75,163.24,163.24,187.92,,,
28,21-Apr-2020,178.0,184.3,176.05,179.5,179.6,23334550,4222814177.2,,,,,,,175.2,172.62,165.94,165.94,187.11,,,
29,22-Apr-2020,179.0,183.55,176.0,182.65,182.25,25164099,4553989729.4,170.3,170.3,,,,170.3,175.2,173.15,168.37,168.37,185.99,,166.06,173.83
30,23-Apr-2020,182.95,184.0,179.65,181.2,180.55,32968241,5996601748.6,170.09,171.01,,,182.64,170.09,178.45,175.9,170.56,170.56,184.79,,167.12,174.54
31,24-Apr-2020,181.0,182.8,179.3,179.85,180.05,18050148,3260993060.95,170.04,171.58,,,182.63,170.04,178.45,177.4,172.53,172.53,183.54,,168.37,175.17
32,27-Apr-2020,180.25,182.3,179.3,180.0,179.85,13086773,2366417399.45,170.15,172.12,,,182.61,170.15,183.88,178.62,174.3,174.3,182.4,,169.74,175.81
33,28-Apr-2020,180.0,180.8,178.05,180.6,179.45,17802711,3193970079.0,170.29,172.67,,,182.6,170.29,184.42,181.95,175.89,175.89,181.53,,171.2,176.48
34,29-Apr-2020,180.5,182.9,179.65,182.05,182.15,21461158,3893831952.55,171.17,173.27,,,182.59,171.17,184.42,183.12,177.33,177.33,181.12,,172.72,177.24
35,30-Apr-2020,184.9,184.9,180.45,181.05,182.05,30169126,5514079226.65,171.76,173.78,,,182.56,171.76,184.88,183.12,178.05,178.05,180.93,,174.15,177.88
36,04-May-2020,181.75,181.75,170.65,173.5,174.05,30298058,5296023986.75,172.62,173.76,,,182.31,172.62,181.88,180.45,190.25,-190.25,179.98,,175.48,177.99
37,05-May-2020,175.0,177.45,172.0,174.0,173.9,17709577,3104426107.75,173.45,173.77,,,182.09,173.45,181.88,180.45,189.86,-189.86,178.54,,176.64,178.08
38,06-May-2020,171.4,171.4,160.5,164.95,163.9,65586753,10725120327.55,173.9,173.2,,,181.87,173.9,176.55,174.32,189.47,-189.47,175.96,,177.57,177.53
39,07-May-2020,164.0,165.85,160.5,161.15,161.0,24249898,3945146899.55,173.91,172.43,,,181.78,173.91,174.65,174.32,188.31,-188.31,172.41,,178.26,176.71
40,08-May-2020,163.95,164.15,157.1,158.5,158.25,25307551,4040860526.35,173.32,171.53,,,181.32,173.32,170.58,169.88,187.2,-187.2,168.37,,178.71,175.71
41,11-May-2020,160.0,163.5,158.0,159.25,158.45,18095693,2912847374.2,173.46,170.74,,,181.16,173.46,170.58,169.88,185.4,-185.4,164.67,,178.99,174.81
42,12-May-2020,158.45,165.9,157.5,165.5,165.05,21387983,3450209830.5,173.94,170.4,,,180.87,173.94,170.58,169.88,183.7,-183.7,162.45,,179.07,174.29
43,13-May-2020,173.4,173.6,164.5,165.7,165.4,20018552,3354698652.35,174.56,170.09,,,180.5,174.56,170.28,169.58,182.1,-182.1,161.61,,178.97,173.76
44,14-May-2020,164.5,168.25,161.95,164.25,163.8,14949993,2463446939.65,174.81,169.72,,,180.32,174.81,170.28,169.58,180.6,-180.6,161.53,,178.66,173.1
45,15-May-2020,162.2,165.5,161.15,164.4,164.65,14950688,2439597397.35,174.85,169.37,,,180.24,174.85,170.28,169.58,179.19,-179.19,161.82,,178.16,172.42
46,18-May-2020,166.0,167.3,163.15,164.8,164.75,20802365,3444644630.05,175.0,169.08,,,180.11,175.0,170.28,169.58,177.87,-177.87,162.32,,177.54,171.78
47,19-May-2020,166.5,171.65,165.1,170.75,170.75,20142194,3403852686.15,175.03,169.19,,,180.06,175.03,170.28,169.58,176.62,-176.62,163.56,,176.79,171.5
48,20-May-2020,171.95,177.0,171.0,175.7,175.75,25320952,4437243049.85,175.33,169.61,,,180.0,175.33,169.78,169.08,157.1,157.1,165.82,,175.97,171.55
49,21-May-2020,175.6,190.45,172.65,188.2,188.95,58382988,10761507970.95,175.69,170.81,,,180.13,175.69,173.35,172.65,157.47,157.47,169.97,,175.13,172.38
50,22-May-2020,188.0,191.9,184.6,186.7,186.35,39013806,7305887869.25,175.87,171.83,,,180.2,175.87,173.35,172.65,158.7,158.7,174.81,,174.29,173.09
51,26-May-2020,190.0,194.95,187.8,191.6,191.7,53235758,10184300252.55,176.3,173.11,,,180.42,176.3,175.05,174.35,159.88,159.88,179.9,,173.53,174.1
52,27-May-2020,192.5,193.9,186.9,192.45,192.15,24546312,4678558068.8,176.55,174.36,,,180.57,176.55,175.48,174.77,161.78,161.78,184.61,,172.86,175.14
53,28-May-2020,192.3,192.9,189.0,191.0,190.65,24579385,4672098928.35,176.86,175.43,,,180.73,176.86,175.48,174.77,164.24,164.24,188.3,,172.35,176.07
54,29-May-2020,190.45,198.0,189.0,197.1,197.35,35836696,7004204895.7,177.09,176.83,,,180.92,177.09,178.18,177.3,166.49,166.49,191.56,,172.06,177.38
55,01-Jun-2020,201.0,205.25,199.0,200.5,200.55,28509025,5768484154.2,177.53,178.35,,,181.37,177.53,182.38,179.0,169.56,169.56,194.69,,172.06,178.89
56,02-Jun-2020,201.9,201.9,196.7,198.0,197.25,22631743,4508515697.15,177.86,179.62,,,181.64,177.86,182.38,180.82,173.27,173.27,197.15,,172.35,180.21
57,03-Jun-2020,200.0,200.9,195.6,197.45,196.7,18979339,3768208344.15,178.41,180.77,,,182.14,178.41,182.38,180.82,176.54,176.54,198.75,,172.89,181.48
